,source,element_id,element_path_value,element_short_value,element_definition_value,element_comment_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_alias_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_fixedUri_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_binding_valueSetUri_value,element_slicing_ordered_value,element_extension_url,element_extension_valueBoolean_value
0,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement,MedicationStatement,Record of medication being taken by a patient,"A record of a medication that is being consumed by a patient.   A MedicationStatement may indicate that the patient may be taking the medication now, or has taken the medication in the past or will be taking the medication in the future.  The source of this information can be the patient, significant other (such as a family member or spouse), or a clinician.  A common scenario where this information is captured is during the history taking process during a patient visit or stay.   The medication information may come from sources such as the patient's memory, from a prescription bottle,  or from a list of medications the patient, clinician or other party maintains   The primary difference between a medication statement and a medication administration is that the medication administration has complete administration information and is based on actual administration information from the person who administered the medication.  A medication statement is often, if not always, less specific.  There is no required date/time when the medication was administered, in fact we only know that a source has reported the patient is taking this medication, where details such as time, quantity, or rate or even medication product may be incomplete or missing or less precise.  As stated earlier, the medication statement information may come from the patient's memory, from a prescription bottle or from a list of medications the patient, clinician or other party maintains.  Medication administration is more formal and is not missing detailed information.","When interpreting a medicationStatement, the value of the status and NotTaken needed to be considered: MedicationStatement.status + MedicationStatement.wasNotTaken Status=Active + NotTaken=T = Not currently taking Status=Completed + NotTaken=T = Not taken in the past Status=Intended + NotTaken=T = No intention of taking Status=Active + NotTaken=F = Taking, but not as prescribed Status=Active + NotTaken=F = Taking Status=Intended +NotTaken= F = Will be taking (not started) Status=Completed + NotTaken=F = Taken in past Status=In Error + NotTaken=N/A = In Error.",0,*,0..*,Resource,0,*,"['dom-2', 'dom-1', 'dom-4', 'dom-3', 'mst-1']","['error', 'error', 'error', 'error', 'error']","['If the resource is contained in another resource, it SHALL NOT contain nested Resources', 'If the resource is contained in another resource, it SHALL NOT contain any narrative', 'If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated', 'If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource', 'Reason not taken is only permitted if Taken is No']","['contained.contained.empty()', 'contained.text.empty()', 'contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()', ""contained.where(('#'+id in %resource.descendants().reference).not()).empty()"", ""reasonNotTaken.exists().not() or (taken = 'n')""]","['not(parent::f:contained and f:contained)', 'not(parent::f:contained and f:text)', 'not(exists(f:contained/*/f:meta/f:versionId)) and not(exists(f:contained/*/f:meta/f:lastUpdated))', ""not(exists(for $id in f:contained/*/@id return $id[not(ancestor::f:contained/parent::*/descendant::f:reference/@value=concat('#', $id))]))"", ""not(exists(f:reasonNotTaken)) or f:taken/@value='n'""]","['rim', 'workflow', 'rim', 'w5']","['Entity. Role, or Act', '..Event', 'SubstanceAdministration', 'clinical.medication']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.id,MedicationStatement.id,Logical id of this artifact,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,0,1,0..1,Resource.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,id,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta,MedicationStatement.meta,Metadata about the resource,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,,0,1,0..1,Resource.meta,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']",Meta,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.id,MedicationStatement.meta.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.extension,MedicationStatement.meta.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,
5,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.versionId,MedicationStatement.meta.versionId,Version specific identifier,"The version specific identifier, as it appears in the version portion of the URL. This values changes when the resource is created, updated, or deleted.","The server assigns this value, and ignores what the client specifies, except in the case that the server is imposing version integrity on updates/deletes.",0,1,0..1,Meta.versionId,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,id,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.lastUpdated,MedicationStatement.meta.lastUpdated,When the resource version last changed,When the resource last changed - e.g. when the version changed.,This value is always populated except when the resource is first being created. The server / resource manager sets this value; what a client provides is irrelevant.,0,1,0..1,Meta.lastUpdated,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,instant,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.profile,MedicationStatement.meta.profile,Profiles this resource claims to conform to,A list of profiles (references to [StructureDefinition](structuredefinition.html#) resources) that this resource claims to conform to. The URL is a reference to [StructureDefinition.url]().,It is up to the server and/or other infrastructure of policy to determine whether/how these claims are verified and/or updated over time.  The list of profile URLs is a set.,1,*,1..*,Meta.profile,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,uri,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.security,MedicationStatement.meta.security,Security Labels applied to this resource,Security labels applied to this resource. These tags connect specific resources to the overall security policy and infrastructure.,"The security labels can be updated without changing the stated version of the resource  The list of security labels is a set. Uniqueness is based the system/code, and version and display are ignored.",0,*,0..*,Meta.security,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding']",Coding,ele-1,true,,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",SecurityLabels,true,extensible,Security Labels from the Healthcare Privacy and Security Classification System.,http://hl7.org/fhir/ValueSet/security-labels,,,,,,,,,,,,,,,
9,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.meta.tag,MedicationStatement.meta.tag,Tags applied to this resource,"Tags applied to this resource. Tags are intended to be used to identify and relate resources to process and workflow, and applications are not required to consider the tags when interpreting the meaning of a resource.","The tags can be updated without changing the stated version of the resource.  The list of tags is a set. Uniqueness is based the system/code, and version and display are ignored.",0,*,0..*,Meta.tag,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding']",Coding,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,Tags,,example,"Codes that represent various types of tags, commonly workflow-related; e.g. ""Needs review by Dr. Jones""",http://hl7.org/fhir/ValueSet/common-tags,,,,,,,,,,,,,,,
10,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.implicitRules,MedicationStatement.implicitRules,A set of rules under which this content was created,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element.   This element is labelled as a modifier because the implicit rules may provide additional knowledge about the resource that modifies it's meaning or interpretation.",0,1,0..1,Resource.implicitRules,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,uri,ele-1,true,,,,,,,,,,,,,true,,,,,,,,,,,,,,
11,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.language,MedicationStatement.language,Language of the resource content,The base language in which the resource is written.,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",0,1,0..1,Resource.language,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,code,ele-1,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-maxValueSet', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",Language,true,extensible,A human language.,http://hl7.org/fhir/ValueSet/languages,,http://hl7.org/fhir/ValueSet/all-languages,,,,,,,,,,,,,
12,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.text,MedicationStatement.text,"Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded in formation is added later.",0,1,0..1,DomainResource.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'rim']","['n/a', 'N/A', 'Act.text?']",Narrative,"['ele-1', 'dom-1']",,,,,,,"['narrative', 'html', 'xhtml', 'display']",,,,,,,,,,,,,,,,,,,,,
13,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.contained,MedicationStatement.contained,"Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.",0,*,0..*,DomainResource.contained,0,*,,,,,,"['rim', 'rim']","['Entity. Role, or Act', 'N/A']",Resource,,,,,,,,"['inline resources', 'anonymous resources', 'contained resources']",,,,,,,,,,,,,,,,,,,,,
14,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension,MedicationStatement.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,
15,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:lastIssueDate,MedicationStatement.extension,The date a prescription was last issued,The date a prescription was last issued.,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,1,0..1,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,,,,,"['extensions', 'user content']",,,,,,,,,lastIssueDate,https://fhir.nhs.uk/STU3/StructureDefinition/Extension-CareConnect-GPC-MedicationStatementLastIssueDate-1,true,,,,,,,,,,
16,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:changeSummary,MedicationStatement.extension,Optional Extensions Element,Optional Extension Element - found in all resources.,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,1,0..1,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,,,,,"['extensions', 'user content']",,,,,,,,,changeSummary,https://fhir.nhs.uk/STU3/StructureDefinition/Extension-CareConnect-GPC-MedicationChangeSummary-1,,,,,,,,,,,
17,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:prescribingAgency,MedicationStatement.extension,The type of organisation/setting responsible for authorising and issuing the medication ,The type of organisation/setting responsible for authorising and issuing the medication.,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",1,1,1..1,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,,,,,"['extensions', 'user content']",,,,,,,,,prescribingAgency,https://fhir.nhs.uk/STU3/StructureDefinition/Extension-CareConnect-GPC-PrescribingAgency-1,,,,,,,,,,,
18,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:dosageLastChanged,MedicationStatement.extension,The date when the dosage instructions were last changed,Only populate where the dosage instructions have been changed during the lifetime of the Medication/Medical Device plan. Set to the date when the dosage instructions were last changed.,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,1,0..1,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,,,,,"['extensions', 'user content']",,,,,,,,,dosageLastChanged,https://fhir.hl7.org.uk/STU3/StructureDefinition/Extension-CareConnect-MedicationDosageLastChanged-1,,,,,,,,,,,
