,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_isModifier_value,element_binding_extension_url,element_binding_extension_valueReference_reference_value,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_alias_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_representation_value,element_requirements_value,element_extension_url,element_extension_valueBoolean_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_meaningWhenMissing_value,element_type_targetProfile_value,element_extension_valueString_value
0,ARS|s_GPConnect-Task-1,Task,Task,A task to be performed,A task to be performed.,0,*,0..*,Resource,0,*,"['dom-2', 'dom-1', 'dom-4', 'dom-3', 'inv-1']","['error', 'error', 'error', 'error', 'error']","['If the resource is contained in another resource, it SHALL NOT contain nested Resources', 'If the resource is contained in another resource, it SHALL NOT contain any narrative', 'If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated', 'If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource', 'Last modified date must be greater than or equal to authored-on date.']","['contained.contained.empty()', 'contained.text.empty()', 'contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()', ""contained.where(('#'+id in %resource.descendants().reference).not()).empty()"", 'lastModified.exists().not() or authoredOn.exists().not() or lastModified >= authoredOn']","['not(parent::f:contained and f:contained)', 'not(parent::f:contained and f:text)', 'not(exists(f:contained/*/f:meta/f:versionId)) and not(exists(f:contained/*/f:meta/f:lastUpdated))', ""not(exists(for $id in f:contained/*/@id return $id[not(ancestor::f:contained/parent::*/descendant::f:reference/@value=concat('#', $id))]))"", 'not(exists(f:lastModified/@value)) or not(exists(f:authoredOn/@value)) or f:lastModified/@value >= f:authoredOn/@value']","['rim', 'workflow', 'rim', 'w5']","['Entity. Role, or Act', 'Request, Event', 'ControlAct[moodCode=INT]', 'workflow.order']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARS|s_GPConnect-Task-1,Task.id,Task.id,Logical id of this artifact,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",0,1,0..1,Resource.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,id,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,
2,ARS|s_GPConnect-Task-1,Task.meta,Task.meta,Metadata about the resource,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,0,1,0..1,Resource.meta,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']",,Meta,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,
3,ARS|s_GPConnect-Task-1,Task.implicitRules,Task.implicitRules,A set of rules under which this content was created,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.",0,1,0..1,Resource.implicitRules,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,"Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element.   This element is labelled as a modifier because the implicit rules may provide additional knowledge about the resource that modifies it's meaning or interpretation.",uri,ele-1,true,true,,,,,,,,,,,,,,,,,,,,,,
4,ARS|s_GPConnect-Task-1,Task.language,Task.language,Language of the resource content,The base language in which the resource is written.,0,1,0..1,Resource.language,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",code,ele-1,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-maxValueSet', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",http://hl7.org/fhir/ValueSet/all-languages,Language,true,extensible,A human language.,http://hl7.org/fhir/ValueSet/languages,,,,,,,,,,,,,,,
5,ARS|s_GPConnect-Task-1,Task.text,Task.text,"Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.",0,1,0..1,DomainResource.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'rim']","['n/a', 'N/A', 'Act.text?']","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded in formation is added later.",Narrative,"['ele-1', 'dom-1']",,,,,,,,,,"['narrative', 'html', 'xhtml', 'display']",,,,,,,,,,,,,,
6,ARS|s_GPConnect-Task-1,Task.contained,Task.contained,"Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.",0,*,0..*,DomainResource.contained,0,*,,,,,,"['rim', 'rim']","['Entity. Role, or Act', 'N/A']","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.",Resource,,,,,,,,,,,"['inline resources', 'anonymous resources', 'contained resources']",,,,,,,,,,,,,,
7,ARS|s_GPConnect-Task-1,Task.extension,Task.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,DomainResource.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
8,ARS|s_GPConnect-Task-1,Task.modifierExtension,Task.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",0,*,0..*,DomainResource.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,true,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
9,ARS|s_GPConnect-Task-1,Task.identifier,Task.identifier,Task Instance Identifier,The business identifier for this task.,0,*,0..*,Task.identifier,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'workflow', 'rim', 'w5']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', 'Request.identifier, Event.identifier', '.id', 'id']",,Identifier,ele-1,,,,,,,,,,,,,,,,,,,,,,,,
